Car_state_ID,Is_broken,Is_used,Location,Is_active,Car_ID,Pricelist_ID
1,False,False,51.65250829509383 19.556119247425382,False,1,1
2,False,False,51.68077525656402 19.369859074061626,False,1,2
3,False,False,51.690360906095286 19.41125525994046,True,1,3
4,False,False,51.79958537536568 19.363196798367436,False,2,1
5,False,False,51.814984522899636 19.584556924773903,False,2,2
6,False,True,51.82949537832536 19.49659871173671,True,2,3
7,False,False,51.78639585472969 19.329790982231412,False,1,1
8,False,False,51.69973004039857 19.40093873928365,False,1,2
9,False,True,51.89624538780246 19.323222427912558,True,1,3
10,False,False,51.56643553301847 19.4133714662591,False,2,1
11,False,False,51.82407452991525 19.52951941073217,False,2,2
12,False,False,51.68551446503298 19.503678639938432,True,2,3
