Car_id,Car_brand,Car_model,Damage_report_date,User_id,Rental_id,Repair_cost,Description
3,Renault,Express,2022-11-26 02:52:34,1,48,6487.89,Onto commercial beat leave effort environment share than.
3,Renault,Express,2023-03-03 02:20:45,2,58,5639.71,One force sense.
1,Renault,Clio,2023-04-25 03:14:13,3,15,8196.03,Could operation commercial improve goal town.
1,Renault,Clio,2023-06-11 21:10:37,3,18,7969.63,Machine amount risk result.
1,Renault,Clio,2023-02-26 20:25:25,1,4,5670.82,Class ever thing mean economy clear tough source.
2,Renault,Zoe,2022-09-16 01:30:20,3,32,6344.02,Ability young responsibility produce occur.
1,Renault,Clio,2023-06-12 00:14:15,3,18,4713.73,Professor enough throw serve.
3,Renault,Express,2022-10-06 02:14:21,1,47,451.72,Fish skill service father marriage main daughter every.
1,Renault,Clio,2023-02-26 19:24:20,1,4,3056.06,Person laugh adult no window quality end page.
3,Renault,Express,2023-09-23 16:24:08,3,43,3777.61,Trade million factor near.
