Rental_ID,Rental_date_start,Rental_date_end,Start_location,End_location,Driven_km,Layover_time,Total_cost,Car_state_ID,User_ID
1,2023-08-08 07:19:53,2023-08-08 10:08:27,52.19533406282355 20.8194714154062,52.402979146742325 20.94507715721768,25.61822583590756,7,54.01,2,2
2,2023-08-03 10:10:15,2023-08-03 12:31:44,51.298500698693694 17.04234121553965,50.98707541835325 17.07792837723848,40.71778802594949,13,83.42,2,1
3,2023-05-11 15:59:22,2023-05-11 18:30:45,54.39450246034626 18.643001782872624,54.331106545853174 18.52718299976205,35.29549972201038,7,72.4,2,2
4,2023-12-09 15:15:09,2023-12-09 19:16:42,50.984088556088544 16.96706250345815,50.908008039394176 17.08292539233321,24.724178154061114,0,56.92,2,2
5,2023-04-12 00:16:13,2023-04-12 03:29:00,54.52500762561891 18.746907234743873,54.494419275777375 18.825831741544796,27.126015378247377,7,50.81,3,3
7,2023-01-09 13:59:29,2023-01-09 17:36:44,54.36004941893619 18.718672054018604,54.45764861089376 18.527903068899658,43.43752151106966,1,77.94,3,1
8,2023-03-09 09:50:30,2023-03-09 15:03:05,51.6411152014825 19.304949471337043,51.63591671205695 19.313411594758804,5.821679949371904,19,15.8,3,3
9,2023-06-12 22:16:00,2023-06-13 02:03:42,50.03992039003544 20.142143464618346,50.12468508240646 19.746136716738725,45.78651490711153,15,93.29,3,2
10,2023-08-14 10:44:05,2023-08-14 11:55:43,50.20680804433795 20.12008382787937,50.02602681443187 20.099082392549217,31.15765157526303,24,66.58,3,1
11,2023-07-31 06:25:06,2023-07-31 07:39:00,52.25570619513147 16.99093909166678,52.38604303320103 16.84494932249909,39.56404103451737,8,80.63,3,2
12,2023-12-03 00:37:07,2023-12-03 05:08:22,54.50320665378197 18.82695323368368,54.165002628988205 18.657399766678694,68.18023205395751,18,150.7,3,3
13,2023-11-05 14:55:10,2023-11-05 17:12:07,52.404636492073145 20.9130951271277,52.04944585276096 20.869143295496357,67.60868332164966,7,147.96,3,2
14,2023-09-25 22:17:11,2023-09-26 01:56:43,51.23384704822272 16.85491826640553,51.07840923068061 17.181577473208897,49.59609115606169,5,109.85,3,3
15,2023-03-15 06:54:26,2023-03-15 10:44:16,50.090523933649884 19.989554999261006,50.10739377174614 19.884945811477976,35.693693320111315,19,66.58,4,3
16,2023-03-20 11:36:12,2023-03-20 16:15:05,51.88284664811137 19.456048519652168,51.94609585870848 19.611222504462834,15.75702485737244,18,32.59,4,3
17,2023-07-28 23:17:52,2023-07-29 00:52:07,52.28464042997186 20.94922884628575,52.388821876093836 20.907508390913037,39.92620181888695,22,83.0,4,2
18,2023-06-30 18:23:51,2023-06-30 22:40:37,50.00821178929495 19.856887311463574,50.13381506056527 19.999319675361935,33.27408646185111,12,69.16,4,3
19,2023-09-06 20:22:32,2023-09-06 23:11:10,49.89587579914557 19.756187908475205,50.132451132002345 19.767113678876793,47.317558417435656,20,107.17,4,1
21,2023-03-08 11:34:54,2023-03-08 15:26:09,50.05763682497302 19.914625131434093,50.10704109078418 20.01014689338255,19.75398248894691,17,39.28,5,3
22,2023-03-01 00:26:15,2023-03-01 02:25:58,51.67623090237299 19.415711429204215,51.893265115839085 19.308752010900086,26.229706677012487,8,49.39,5,1
23,2023-11-05 05:16:51,2023-11-05 07:52:31,49.929486592391406 19.994585499500246,50.1383103895548 19.938621136988964,35.5616820381352,1,79.82,5,2
24,2023-09-26 19:42:22,2023-09-26 20:13:00,52.25362600122359 21.050263577505547,52.15565200709232 21.201577767428414,40.000226321629725,17,91.38,5,2
25,2023-11-13 18:45:54,2023-11-14 00:18:14,51.93094015355312 19.48914015618515,51.80214235630885 19.481413674015297,15.331484239895861,12,38.88,5,3
26,2023-01-19 20:09:51,2023-01-19 22:16:53,52.159438485473174 21.20226925901928,52.05884463776044 21.191881058170402,25.207999991392413,18,48.65,6,1
27,2023-03-06 16:04:47,2023-03-06 18:45:30,52.16705479077742 20.969181048044472,52.07522483211058 20.81610685975724,32.61112104863871,19,61.34,6,3
29,2023-08-17 11:49:04,2023-08-17 16:35:38,52.29383769833445 16.983253951000382,52.31428537358361 16.821559578065884,15.226645779477785,19,35.71,6,2
30,2023-07-09 19:06:09,2023-07-09 23:11:51,51.07591758038696 17.104014863707636,51.24353964667601 16.988988137948244,48.29153431905178,23,99.01,6,3
31,2023-11-23 19:40:53,2023-11-23 20:03:44,51.23428592149789 17.123916722982838,51.287611865166426 17.02954915081994,13.847433920733536,3,34.5,6,2
32,2023-11-10 13:36:46,2023-11-10 18:10:46,54.53637491098117 18.596418892555278,54.4586668395518 18.68861622569724,39.4932558247482,15,90.04,6,1
33,2023-10-24 22:34:56,2023-10-24 23:29:49,52.334789873875266 21.158403608392085,52.204052287936435 21.0256520356425,37.11527384212304,4,83.5,6,3
34,2023-09-01 22:22:53,2023-09-01 23:24:18,52.334014211457614 20.89262200380023,52.21436971844588 21.091343180737866,28.968403787612097,0,65.83,6,2
35,2023-08-15 19:30:18,2023-08-15 23:31:19,50.13746313556293 19.76603488968316,50.068478595131644 20.117349608950487,51.20413589030884,22,104.43,7,2
36,2023-08-22 15:16:39,2023-08-22 16:16:41,52.063814745096174 20.9022460085421,52.4047229926096 20.81896983051608,52.329120003004626,1,104.05,7,2
37,2023-08-21 20:43:09,2023-08-21 22:48:02,50.24018098387957 19.784078326868805,50.004148503608114 20.09530436527253,57.36778922961348,8,114.46,7,2
38,2023-06-13 09:10:59,2023-06-13 13:56:15,51.8365170244429 19.61238627030551,51.75921758954285 19.56417265245906,22.21259344808165,13,48.26,7,1
39,2023-11-19 00:19:45,2023-11-19 01:16:59,52.14963608045011 20.837657927660747,52.24404059918018 20.999979216876586,19.250917777757937,1,45.57,7,2
40,2023-06-01 02:34:40,2023-06-01 05:26:48,54.356724332445594 18.458218385667582,54.45327403395796 18.57499226539275,36.12926750818424,0,73.15,8,1
41,2023-05-05 13:21:13,2023-05-05 15:29:59,52.426942887967876 21.14330556099,52.153052286986124 20.832051856973077,56.0900165225322,22,113.71,8,3
42,2023-05-31 08:36:55,2023-05-31 10:17:48,51.089802498152686 17.13965294036962,51.274192655585686 16.921483896983574,29.527081434470123,5,61.2,8,1
43,2023-06-27 18:51:11,2023-06-27 21:56:45,51.06813492718874 17.108582820073963,50.916150649013964 17.073518078426876,18.07714246443086,2,39.09,8,3
44,2023-10-19 01:35:15,2023-10-19 06:43:10,51.825666797918856 19.52688138374708,51.868082058844415 19.398244406017664,20.016267018626706,21,49.97,8,3
45,2023-09-06 12:52:53,2023-09-06 15:47:02,50.09566534134218 19.92267104073224,49.966230843841146 19.995607834498976,26.306359405886788,8,61.36,8,1
46,2023-10-20 15:39:44,2023-10-20 21:36:03,52.15297343109579 21.196365464278784,52.1625965834798 20.887840562118125,34.07377161284208,3,76.97,8,3
49,2023-03-17 15:36:29,2023-03-17 20:20:00,51.85160040578579 19.448958581578832,51.86943078518127 19.43078843205109,11.342611245309444,10,24.28,9,3
50,2023-07-30 07:07:25,2023-07-30 10:06:22,51.76780146126546 19.34289734530801,51.92201624237962 19.324707416394396,35.193368552450146,2,71.61,9,2
51,2023-07-18 18:50:33,2023-07-18 22:58:26,51.30245369270654 17.106554448419757,50.91252279051775 16.983765756416712,66.19764123339392,1,130.4,9,1
52,2023-08-02 00:28:02,2023-08-02 03:46:31,51.89351818693124 19.444032716917683,51.87444166989157 19.33156514517835,25.005436261341956,5,52.61,9,3
53,2023-06-03 12:20:32,2023-06-03 12:29:17,54.441102154771386 18.51511449731698,54.542109341242295 18.492910891465563,21.322661780018244,13,46.57,9,1
