Car_state_ID,Is_broken,Is_used,Location,Is_active,Car_ID,Pricelist_ID
10,0,0,52.119567049648516 21.184984696826156,0,1,4
11,0,0,52.42604126834818 20.9569235066919,0,1,5
12,0,0,52.29955641075228 20.861469615667396,1,1,6
13,0,0,52.15316613673063 20.983256813918544,0,2,4
14,0,0,52.186218639773465 20.904257846996355,0,2,5
15,0,0,52.38219298585135 20.87429724416449,1,2,6
16,0,0,52.10172757070284 21.185540692994383,0,3,4
17,0,0,52.19653512340284 21.012387511218297,0,3,5
18,0,0,52.28648220430019 21.114978362092483,1,3,6
19,0,1,52.0834030778496 20.943410729040664,0,4,4
20,0,0,52.19318359102189 21.137303537122175,0,4,5
21,0,1,52.30816543897409 21.05668824217273,1,4,6
22,0,0,52.19428392256673 21.123779247675618,0,5,4
23,0,0,52.1218364092777 21.13819678968791,0,5,5
24,0,0,52.0844057553853 21.03187695199912,1,5,6
25,0,0,52.061768155036084 20.950822614361535,0,6,4
26,0,0,52.35827484144226 20.931500179740443,0,6,5
27,0,0,52.40906973531918 21.139603200232795,1,6,6
